candidate_id,rank,score,reasoning
CAND_0030031,1,40.123203,"Strong Senior IC (5.7 YOE) with proven production experience in skills in Information Retrieval, PyTorch. Outstanding platform engagement indicators (notice: 30 days), located in Trivandrum, Kerala. Verified platform credentials with high trust score."
CAND_0077337,2,39.604409,"Expert retrieval developer (7.0 YOE) currently serving as Staff Machine Learning Engineer in Kochi, Kerala. Shipped search/matching infra using skills in Semantic Search, Pinecone; fits the product-first shipper mindset perfectly with 60-day notice. Verified platform credentials with high trust score."
CAND_0049538,3,39.141076,"Senior AI Engineer with 5.8 YOE, currently serving as Applied ML Engineer. Outstanding match for founding team, demonstrating hands-on experience in shipping skills in OpenSearch, Vector Search to production. Resides in Jaipur, Rajasthan with 30-day notice. Verified platform credentials with high trust score."
CAND_0036184,4,35.092471,"Strong Senior IC (6.0 YOE) with proven production experience in skills in FAISS, Hugging Face Transformers. Outstanding platform engagement indicators (notice: 30 days), located in Trivandrum, Kerala. Verified platform credentials with high trust score."
CAND_0065195,5,29.091611,"Senior AI Engineer with 5.1 YOE, currently serving as Search Engineer. Outstanding match for founding team, demonstrating hands-on experience in shipping skills in Elasticsearch, Hugging Face Transformers to production. Resides in Kolkata, West Bengal with 45-day notice. Verified platform credentials with high trust score."
CAND_0073883,6,28.20062,"Senior AI Engineer with 5.3 YOE, currently serving as AI Specialist. Outstanding match for founding team, demonstrating hands-on experience in shipping skills in Hugging Face Transformers, Vector Search to production. Resides in Chandigarh, Chandigarh with 90-day notice. Verified platform credentials with high trust score."
CAND_0050876,7,27.163842,"Senior AI Engineer with 6.0 YOE, currently serving as Applied ML Engineer. Outstanding match for founding team, demonstrating hands-on experience in shipping skills in FAISS, OpenSearch to production. Resides in Kolkata, West Bengal with 90-day notice. Verified platform credentials with high trust score."
CAND_0024878,8,26.584182,"Senior AI Engineer with 5.7 YOE, currently serving as AI Specialist. Outstanding match for founding team, demonstrating hands-on experience in shipping skills in BM25, Elasticsearch to production. Resides in Vizag, Andhra Pradesh with 60-day notice. Verified platform credentials with high trust score."
CAND_0010149,9,26.438063,"Expert retrieval developer (6.9 YOE) currently serving as ML Engineer in Bangalore, Karnataka. Shipped search/matching infra using skills in Vector Search, Elasticsearch; fits the product-first shipper mindset perfectly with 90-day notice. Verified platform credentials with high trust score."
CAND_0002025,10,26.4019,"Expert retrieval developer (5.9 YOE) currently serving as Senior AI Engineer in Trivandrum, Kerala. Shipped search/matching infra using skills in FAISS, OpenSearch; fits the product-first shipper mindset perfectly with 30-day notice. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_GREEN_DOT_FARMING (Trust Score: 0.70)]"
CAND_0048558,11,24.658666,"Applied AI specialist (6.7 YOE) working as Data Scientist with product company experience. Strong match for search and index refreshing tasks; holds 30 days notice and resides in Noida, Uttar Pradesh. Verified platform credentials with high trust score. Delhi NCR hybrid commuter."
CAND_0004402,12,24.573199,"Technical background as AI Research Engineer for 6.0 years, showing solid foundations in NLP and skills in OpenSearch, PyTorch. Located in Delhi, Delhi with 60 days notice. Verified platform credentials with high trust score. Delhi NCR hybrid commuter."
CAND_0099401,13,22.935322,"Proven ML and Search practitioner (7.7 YOE) currently working as NLP Engineer in Ahmedabad, Gujarat. Experienced in skills in BM25, Embeddings. Strong core engineering background with solid platform activity signals (90 days notice). [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_MODERATE_RESPONSE_RATE (Trust Score: 0.70)]"
CAND_0083852,14,22.602924,"Proven ML and Search practitioner (6.0 YOE) currently working as Data Scientist in Ahmedabad, Gujarat. Experienced in skills in Pinecone, PyTorch. Strong core engineering background with solid platform activity signals (90 days notice). Verified platform credentials with high trust score."
CAND_0081846,15,21.443746,"Applied AI specialist (6.7 YOE) working as Lead AI Engineer with product company experience. Strong match for search and index refreshing tasks; holds 30 days notice and resides in Jaipur, Rajasthan. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0099806,16,20.609546,"Proven ML and Search practitioner (4.6 YOE) currently working as AI Engineer in Bhubaneswar, Odisha. Experienced in skills in FAISS, Embeddings. Strong core engineering background with solid platform activity signals (30 days notice). [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0072688,17,20.352587,"Technical background as Data Scientist for 6.9 years, showing solid foundations in NLP and skills in Semantic Search, NLP. Located in Pune, Maharashtra with 45 days notice. Verified platform credentials with high trust score. Pune hybrid commuter."
CAND_0055905,18,19.826672,Applied AI specialist (8.1 YOE) working as Senior Machine Learning Engineer with product company experience. Strong match for search and index refreshing tasks; holds 30 days notice and resides in London. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]
CAND_0046064,19,19.634409,"Proven ML and Search practitioner (8.9 YOE) currently working as Senior NLP Engineer in Coimbatore, Tamil Nadu. Experienced in skills in Pinecone, BM25. Strong core engineering background with solid platform activity signals (30 days notice). [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0036437,20,19.507671,"Proven ML and Search practitioner (4.8 YOE) currently working as Search Engineer in Kolkata, West Bengal. Experienced in skills in OpenSearch, Elasticsearch. Strong core engineering background with solid platform activity signals (30 days notice). [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0015578,21,19.071108,"Proven ML and Search practitioner (5.4 YOE) currently working as AI Engineer in Delhi, Delhi. Experienced in skills in Embeddings, NLP. Strong core engineering background with solid platform activity signals (90 days notice). [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)] Delhi NCR hybrid commuter."
CAND_0020877,22,18.995165,"Applied AI specialist (5.1 YOE) working as Applied ML Engineer with product company experience. Strong match for search and index refreshing tasks; holds 60 days notice and resides in Gurgaon, Haryana. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)] Delhi NCR hybrid commuter."
CAND_0011162,23,18.906703,"Proven ML and Search practitioner (5.8 YOE) currently working as Recommendation Systems Engineer in Coimbatore, Tamil Nadu. Experienced in skills in FAISS, Vector Search. Strong core engineering background with solid platform activity signals (90 days notice). [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0093912,24,18.7727,"Applied AI specialist (5.3 YOE) working as Senior Data Scientist with product company experience. Strong match for search and index refreshing tasks; holds 30 days notice and resides in Chandigarh, Chandigarh. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0066999,25,18.765896,"Applied AI specialist (5.9 YOE) working as Recommendation Systems Engineer with product company experience. Strong match for search and index refreshing tasks; holds 15 days notice and resides in Delhi, Delhi. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)] Delhi NCR hybrid commuter."
CAND_0011687,26,18.672236,"Proven ML and Search practitioner (7.8 YOE) currently working as Senior NLP Engineer in Indore, Madhya Pradesh. Experienced in skills in OpenSearch, FAISS. Strong core engineering background with solid platform activity signals (15 days notice). [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0079387,27,18.36602,"Technical background as AI Engineer for 6.9 years, showing solid foundations in NLP and skills in Sentence Transformers, Vector Search. Located in Trivandrum, Kerala with 30 days notice. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0061655,28,18.272188,"Proven ML and Search practitioner (4.6 YOE) currently working as Machine Learning Engineer in Jaipur, Rajasthan. Experienced in skills in Pinecone, PyTorch. Strong core engineering background with solid platform activity signals (15 days notice). [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0088025,29,17.789591,"Proven ML and Search practitioner (8.6 YOE) currently working as Staff Machine Learning Engineer in Jaipur, Rajasthan. Experienced in skills in Pinecone, Hugging Face Transformers. Strong core engineering background with solid platform activity signals (90 days notice). [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0042029,30,17.780294,"Proven ML and Search practitioner (6.5 YOE) currently working as Senior Data Scientist in Delhi, Delhi. Experienced in skills in PyTorch, NLP. Strong core engineering background with solid platform activity signals (45 days notice). [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)] Delhi NCR hybrid commuter."
CAND_0058688,31,17.779917,"Proven ML and Search practitioner (6.7 YOE) currently working as AI Engineer in Berlin. Experienced in skills in Embeddings, Information Retrieval. Strong core engineering background with solid platform activity signals (15 days notice). [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0018549,32,17.190523,"Applied AI specialist (6.8 YOE) working as Recommendation Systems Engineer with product company experience. Strong match for search and index refreshing tasks; holds 60 days notice and resides in Coimbatore, Tamil Nadu. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0060054,33,17.027179,"Applied AI specialist (6.4 YOE) working as AI Engineer with product company experience. Strong match for search and index refreshing tasks; holds 15 days notice and resides in Jaipur, Rajasthan. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0093474,34,16.732294,"Applied AI specialist (5.3 YOE) working as Senior Software Engineer (ML) with product company experience. Strong match for search and index refreshing tasks; holds 90 days notice and resides in Delhi, Delhi. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_MODERATE_RESPONSE_RATE (Trust Score: 0.70)] Delhi NCR hybrid commuter."
CAND_0013536,35,16.506076,"Applied AI specialist (14.1 YOE) working as Applied ML Engineer with product company experience. Strong match for search and index refreshing tasks; holds 90 days notice and resides in Trivandrum, Kerala. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0081686,36,16.48401,"Proven ML and Search practitioner (6.0 YOE) currently working as Search Engineer in Austin. Experienced in skills in Embeddings, FAISS. Strong core engineering background with solid platform activity signals (60 days notice). [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0027691,37,16.265533,"Technical background as NLP Engineer for 6.5 years, showing solid foundations in NLP and skills in Weaviate, Embeddings. Located in Pune, Maharashtra with 15 days notice. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)] Pune hybrid commuter."
CAND_0064270,38,16.018978,"Technical background as Applied ML Engineer for 4.2 years, showing solid foundations in NLP and skills in PyTorch, Sentence Transformers. Located in Pune, Maharashtra with 45 days notice. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)] Pune hybrid commuter."
CAND_0072660,39,15.86172,Applied AI specialist (7.1 YOE) working as Machine Learning Engineer with product company experience. Strong match for search and index refreshing tasks; holds 30 days notice and resides in Berlin. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_MODERATE_RESPONSE_RATE (Trust Score: 0.70)]
CAND_0006418,40,15.698619,"Technical background as Machine Learning Engineer for 5.7 years, showing solid foundations in NLP and skills in Semantic Search, Embeddings. Located in Gurgaon, Haryana with 60 days notice. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)] Delhi NCR hybrid commuter."
CAND_0078492,41,15.539411,"Applied AI specialist (5.1 YOE) working as Recommendation Systems Engineer with product company experience. Strong match for search and index refreshing tasks; holds 30 days notice and resides in Kochi, Kerala. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0005260,42,15.522414,"Technical background as Senior NLP Engineer for 5.2 years, showing solid foundations in NLP and skills in Information Retrieval, Semantic Search. Located in Chennai, Tamil Nadu with 60 days notice. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0000031,43,15.370221,"Technical background as Recommendation Systems Engineer for 6.0 years, showing solid foundations in NLP and skills in FAISS, Pinecone. Located in Hyderabad, Telangana with 60 days notice. Verified platform credentials with high trust score. Hyderabad commuter."
CAND_0042100,44,15.284302,"Technical background as Machine Learning Engineer for 7.3 years, showing solid foundations in NLP and skills in Elasticsearch, Semantic Search. Located in Singapore with 90 days notice. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0029367,45,15.198967,"Applied AI specialist (5.7 YOE) working as Senior Data Scientist with product company experience. Strong match for search and index refreshing tasks; holds 90 days notice and resides in Bangalore, Karnataka. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0014440,46,15.184758,"Technical background as Recommendation Systems Engineer for 6.4 years, showing solid foundations in NLP and skills in Elasticsearch, FAISS. Located in Chennai, Tamil Nadu with 60 days notice. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0076163,47,15.138421,"Proven ML and Search practitioner (6.9 YOE) currently working as NLP Engineer in Chandigarh, Chandigarh. Experienced in skills in Weaviate, BM25. Strong core engineering background with solid platform activity signals (60 days notice). [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0057736,48,15.10963,"Technical background as Computer Vision Engineer for 6.2 years, showing solid foundations in NLP and skills in Weaviate, Information Retrieval. Located in Coimbatore, Tamil Nadu with 90 days notice. Verified platform credentials with high trust score."
CAND_0036394,49,15.086661,"Technical background as Sales Executive for 5.5 years, showing solid foundations in NLP and skills in Semantic Search, Pinecone. Located in London with 60 days notice. Verified platform credentials with high trust score."
CAND_0040117,50,14.922223,"Technical background as Recommendation Systems Engineer for 6.5 years, showing solid foundations in NLP and skills in Embeddings, FAISS. Located in Vizag, Andhra Pradesh with 15 days notice. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
CAND_0070514,51,14.92055,"Matches core AI engineering requirements (5.5 YOE) as AI Specialist in Bangalore, Karnataka with intermediate background in NLP and skills in Pinecone, FAISS. Notice period is 60 days. [WARNING: Flagged for manual review: Triggered Anomaly Flags: ANOMALY_BACKGROUND_BOTTING (Trust Score: 0.50)]"
